,modified_f4_0,modified_f4_1,modified_f4_2,modified_f4_3,modified_f4_4
0,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
1,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
2,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
3,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
4,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
5,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
6,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
7,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
8,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
9,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
10,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
11,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
12,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
13,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
14,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
15,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
16,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
17,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
18,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
19,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
20,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
21,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
22,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
23,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
24,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
25,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
26,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
27,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
28,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
29,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
30,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
31,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
32,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
33,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
34,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
35,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
36,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
37,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
38,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
39,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
40,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
41,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
42,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
43,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
44,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
45,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
46,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
47,34908.28528323675,23197.12753935195,30878.207615309955,25057.840221838083,23900.245453124982
