,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
10,-29926.305920465664,-30148.45930900998,-29139.745650206663,-29938.99983534523,-29811.39891496834,-29273.603072262602,-30208.583841639345,-29460.64309980475,-29361.26066742165,-29866.015474132037,-29346.085547196126,-30224.411328319653,-29763.75145220743,-29047.30139945322,-30004.93747868633,-29745.628176993923,-29599.162270341527,-29984.123750939765,-29530.691150947736,-29521.832208452295,-29540.814388935207,-29939.859706496572,-30056.360317625178,-29768.863077196307,-29797.446850149365,-30040.080566984725,-28787.311212711087,-29679.33302694832,-29370.78546339565,-29635.298888605597
11,-29926.305920465664,-30148.45930900998,-29139.745650206663,-29938.99983534523,-29811.39891496834,-29320.87516075977,-30208.583841639345,-29460.64309980475,-29362.115283351883,-29871.42188698316,-29408.806143110294,-30224.411328319653,-29763.75145220743,-29494.999560034965,-30004.93747868633,-29849.09881293659,-29599.162270341527,-29984.123750939765,-29530.691150947736,-29675.639525175393,-29743.638189710215,-30084.570250540437,-30113.799377682895,-29768.863077196307,-29797.446850149365,-30040.080566984725,-28791.008785359445,-29683.303584317415,-29504.69083630739,-29635.298888605597
12,-29926.305920465664,-30155.728606680823,-29139.745650206663,-29938.99983534523,-29811.39891496834,-29320.87516075977,-30208.583841639345,-29460.64309980475,-29362.115283351883,-29871.42188698316,-29408.806143110294,-30224.411328319653,-29763.75145220743,-29494.999560034965,-30004.93747868633,-29849.09881293659,-29599.162270341527,-29992.108589308584,-29530.691150947736,-29725.631339606545,-29743.638189710215,-30084.570250540437,-30155.041826707715,-29768.863077196307,-29797.446850149365,-30063.17738766809,-28791.008785359445,-29708.847324595103,-29504.69083630739,-29635.298888605597
13,-29926.305920465664,-30155.728606680823,-29139.745650206663,-30132.195572639568,-29811.39891496834,-29332.53726470746,-30319.753337438597,-29460.64309980475,-29362.115283351883,-29871.42188698316,-29631.266079800593,-30224.411328319653,-29763.75145220743,-29777.6287347561,-30029.422128800157,-29849.09881293659,-29695.58080247459,-29992.108589308584,-29591.17163799174,-29760.63402493408,-29743.638189710215,-30183.180275957442,-30207.104372433816,-29768.863077196307,-29797.446850149365,-30087.886083286117,-28878.87206829564,-29708.847324595103,-29504.69083630739,-29635.298888605597
14,-30143.227820289612,-30155.728606680823,-29527.892124003087,-30132.195572639568,-29811.39891496834,-29332.53726470746,-30319.753337438597,-29460.64309980475,-29362.115283351883,-29871.42188698316,-29631.266079800593,-30224.411328319653,-30019.683863870298,-29879.87830057898,-30029.422128800157,-29849.09881293659,-30267.799350716592,-29992.108589308584,-30007.696202803894,-29760.63402493408,-29743.638189710215,-30183.180275957442,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30087.886083286117,-28878.87206829564,-29708.847324595103,-29504.69083630739,-29635.298888605597
15,-30150.4986385926,-30155.728606680823,-29527.892124003087,-30132.195572639568,-29811.39891496834,-29485.027207507184,-30319.753337438597,-29528.333820073698,-29429.709995312754,-29871.42188698316,-29687.265037489247,-30224.411328319653,-30019.683863870298,-30013.65527416031,-30029.422128800157,-29849.09881293659,-30267.799350716592,-30231.121076248073,-30053.65235843634,-29760.63402493408,-29743.638189710215,-30213.751049909486,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30087.886083286117,-29420.229843836052,-30002.771521238155,-29504.69083630739,-29635.298888605597
16,-30150.4986385926,-30155.728606680823,-29536.62256426287,-30132.195572639568,-29811.39891496834,-29485.027207507184,-30345.51973777599,-29542.373433079847,-29429.709995312754,-29871.42188698316,-29687.265037489247,-30246.880697853416,-30019.683863870298,-30013.65527416031,-30029.422128800157,-29903.84539961593,-30267.799350716592,-30231.121076248073,-30053.65235843634,-29760.63402493408,-29743.638189710215,-30213.751049909486,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30087.886083286117,-29544.218727555228,-30107.14816230646,-29518.357847318104,-29635.298888605597
17,-30150.4986385926,-30155.728606680823,-29589.92676722342,-30132.195572639568,-29829.401045595674,-29485.027207507184,-30375.75577106234,-29542.373433079847,-29429.709995312754,-29871.42188698316,-29687.265037489247,-30246.880697853416,-30019.683863870298,-30013.65527416031,-30029.422128800157,-29903.84539961593,-30267.799350716592,-30231.121076248073,-30065.953836582907,-29760.63402493408,-29743.638189710215,-30213.751049909486,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30270.462695968894,-29544.218727555228,-30177.261009715803,-29518.357847318104,-29635.298888605597
18,-30317.258789820837,-30188.896892664554,-29589.92676722342,-30132.195572639568,-29829.401045595674,-29706.860953589276,-30382.519263948998,-29542.373433079847,-29662.71178360902,-29871.42188698316,-29687.265037489247,-30246.880697853416,-30080.99132811759,-30013.65527416031,-30029.422128800157,-29929.41667022002,-30267.799350716592,-30313.901336130635,-30083.242884751256,-29760.63402493408,-29802.24556665925,-30213.751049909486,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30270.462695968894,-29549.219005706313,-30177.261009715803,-29518.357847318104,-29635.298888605597
19,-30317.258789820837,-30188.896892664554,-29589.92676722342,-30132.195572639568,-29829.401045595674,-29706.860953589276,-30382.519263948998,-29542.373433079847,-29699.50781798688,-29871.42188698316,-30035.389546238934,-30372.868972172895,-30080.99132811759,-30013.65527416031,-30029.422128800157,-29929.41667022002,-30267.799350716592,-30436.512412191158,-30160.846946879596,-29760.63402493408,-29802.24556665925,-30313.49227861329,-30340.813161895283,-29768.863077196307,-29797.446850149365,-30270.462695968894,-30385.903757619308,-30398.55422867385,-29518.357847318104,-29635.298888605597
