,x_best,f_best,f_worst,f_ave,f_std
0,78.0,-30664.345931802844,-30260.987474185,-30567.114458862172,110.62141401376991
1,33.0,-30664.345931802844,-30260.987474185,-30567.114458862172,110.62141401376991
2,29.998817033026523,-30664.345931802844,-30260.987474185,-30567.114458862172,110.62141401376991
3,45.0,-30664.345931802844,-30260.987474185,-30567.114458862172,110.62141401376991
4,36.77653534760043,-30664.345931802844,-30260.987474185,-30567.114458862172,110.62141401376991
