,eso_F21_0,eso_F21_1,eso_F21_2,eso_F21_3,eso_F21_4,eso_F22_0,eso_F22_1,eso_F22_2,eso_F22_3,eso_F22_4,eso_F23_0,eso_F23_1,eso_F23_2,eso_F23_3,eso_F23_4,eso_F24_0,eso_F24_1,eso_F24_2,eso_F24_3,eso_F24_4,eso_F25_0,eso_F25_1,eso_F25_2,eso_F25_3,eso_F25_4,eso_F26_0,eso_F26_1,eso_F26_2,eso_F26_3,eso_F26_4,eso_F27_0,eso_F27_1,eso_F27_2,eso_F27_3,eso_F27_4,eso_F28_0,eso_F28_1,eso_F28_2,eso_F28_3,eso_F28_4
0,2754.6102504588234,2795.7070850935365,2754.6590764819794,2851.713978620135,2779.150867913336,9040.131905525923,9282.568602353274,11039.710698750814,11745.8750537367,12306.789912577991,3732.576178590465,3671.1492381543026,3767.8982808655337,3650.993780605294,3682.346240480376,3895.86908647368,3933.5490031390636,3835.8134754405764,3806.823239414658,3858.470859904678,5803.823326682817,5740.126820520122,8161.958846690253,5520.835142633289,5544.874492034144,12691.650270824835,12504.806550248191,14694.82049188067,10332.86941255717,12774.170996687875,5337.4337439958,4672.583436874314,4542.443418716387,5863.088245887594,4688.186384293062,8630.0788218616,7536.987669887161,8582.49145115267,7152.0553082426695,7344.104890723214
1,2754.6102504588234,2775.8392558403666,2753.7224883754448,2809.145815411431,2767.868006359835,9040.131905525923,9282.568602353274,10844.411311909382,11296.298538830606,11830.480841200224,3669.8599507150907,3671.1492381543026,3686.4930046693685,3612.552059228466,3520.2094666469147,3839.233704524044,3718.0371692218896,3835.8134754405764,3698.101317447683,3763.84202495477,5468.434022764896,5740.126820520122,5971.0746243368985,5035.717129314786,5508.155800498827,12691.650270824835,12504.806550248191,13371.232747417833,10332.86941255717,12401.991609646615,4825.254447206203,4396.586252435538,4232.107247875828,5227.049355344174,4675.480767632755,8290.251819778765,7277.929554621013,7466.683455987003,7007.313161756371,7231.0284025737865
2,2745.7295064450996,2726.9912056259473,2746.393251630152,2758.6941784301316,2701.6377432528857,8863.21449656864,8610.780174415904,10309.646435553148,11189.39406819886,11633.777175296165,3653.1377902723198,3541.5064050817614,3452.995419538618,3478.5278167200972,3486.7356292188233,3728.7748774192055,3597.684591951801,3772.8949332178354,3620.6374741132486,3763.84202495477,5324.298431703262,4612.857722623698,5971.0746243368985,5035.717129314786,5177.17537878678,12205.73226272585,12504.806550248191,13371.232747417833,10063.127840520898,12045.748806662532,4825.254447206203,4311.191903897674,4061.8859111766224,5227.049355344174,4672.104285696089,7949.7809236184,6961.44988172819,7146.9345907878205,6898.106596673755,6140.801483088054
3,2710.4184509284055,2706.821539657201,2740.1472845003764,2757.721739404468,2701.6377432528857,8783.037576711828,8610.780174415904,9974.186579974816,10697.65655335776,11633.777175296165,3469.3479645001203,3541.5064050817614,3400.230617778043,3468.699900021419,3486.7356292188233,3698.2205523769067,3597.684591951801,3697.9116028539447,3572.1818696139735,3688.4284107017156,5298.524417741332,4570.916651046134,5783.685059330946,5024.417213516838,4921.238137197187,11591.760701539222,11643.57100135722,13371.232747417833,10038.39586825804,11303.175402161343,4320.857976300574,4311.191903897674,4053.308090840026,5227.049355344174,4527.453100606332,7871.9654573857,6534.317673066669,6935.3036677696255,6898.106596673755,5685.157032213299
4,2710.4184509284055,2706.821539657201,2700.4564743437504,2757.721739404468,2701.6377432528857,8277.807274539548,8610.780174415904,9594.034729386318,10592.253089712718,10625.552740446605,3320.193889387538,3541.5064050817614,3400.230617778043,3468.699900021419,3486.7356292188233,3635.6727973737425,3597.684591951801,3489.9658926462835,3572.1818696139735,3668.058428534513,4983.136616667155,4513.762508661923,5773.3557193286615,4877.554989556999,4736.423238403877,11543.530146407242,10861.06623365425,11601.835070007344,9789.28741729598,11034.764322278907,4289.198666543775,4297.494434521536,4053.308090840026,4458.451435494655,3879.178547301286,7718.62733041345,6421.723153325267,6824.247476111405,6770.909896501345,5410.699779137735
5,2710.4184509284055,2698.244611624024,2645.39401133768,2757.721739404468,2701.6377432528857,8196.90607383925,8610.780174415904,8997.410192340332,10592.253089712718,10556.661412423173,3304.0031245235396,3541.5064050817614,3382.8808264567438,3428.0672191358635,3486.7356292188233,3588.442966956351,3523.1578534472283,3489.9658926462835,3538.920300351042,3595.80365846899,4966.071203750768,4495.842112361472,5773.3557193286615,4749.346819445145,4618.65298754524,11444.684088525086,10404.972740432004,11445.405615765121,9397.066327292132,10776.751892793684,4253.900382455073,4264.553700206898,4053.308090840026,4458.451435494655,3842.9940127323057,7234.189673529511,6421.723153325267,6419.527522833161,6755.031983754843,5357.203448470463
6,2710.4184509284055,2698.244611624024,2645.087301783004,2757.4842538941843,2701.6377432528857,7759.4326900918,8610.780174415904,8997.410192340332,10464.862121891878,10556.661412423173,3304.0031245235396,3514.42293913251,3337.9312153913916,3393.3166349876083,3379.501177613465,3514.8310538749224,3523.1578534472283,3477.882168963276,3366.3824648005334,3545.749874134031,4916.17848116495,4483.850784706583,5477.637651652446,4720.7296279223165,4566.362097654654,11444.684088525086,10198.384432276483,11059.480202470084,9397.066327292132,10672.649451642385,4209.186811834431,4054.2759327570575,4041.161859482124,4291.378971215017,3832.5251651703657,6449.913519077349,6421.723153325267,6344.800000577412,6717.957188474547,5164.936297028288
7,2698.6338907703193,2698.244611624024,2645.087301783004,2757.4842538941843,2701.6377432528857,7751.969163064012,8610.780174415904,8997.410192340332,10464.862121891878,10393.178307648666,3304.0031245235396,3447.1444143041736,3236.1184697544013,3328.7143644009975,3369.884861663372,3512.659147503101,3430.8971183645617,3464.2247259028036,3356.04786532853,3520.519796646964,4700.797276282146,4439.817677988276,5337.021575951612,4591.247112306504,4561.071188251197,11187.004314912254,10198.384432276483,10834.181184660876,9332.87964648319,10253.150372778151,4189.582302184543,3990.2390343255556,3944.3599988223204,4291.378971215017,3764.1838671386167,6378.171295268044,6219.180134941531,6335.2706321,6539.635964370442,5138.074417758495
8,2698.6338907703193,2698.244611624024,2645.087301783004,2748.5485509964838,2701.6377432528857,6767.39233946509,8610.780174415904,7056.751598353498,10464.862121891878,10110.648386629246,3304.0031245235396,3318.6096833676147,3229.0943788780196,3326.702180386944,3341.551598532061,3413.5607557562544,3392.4536110065783,3404.9536268590255,3346.5638504314516,3436.5530392467626,4542.100908618906,4278.120051202162,5298.298727811818,4385.262766024637,4560.120453576736,10841.264411818524,10198.384432276483,10677.045861270493,9170.666988098124,9376.821359714404,4183.253681063755,3905.357761234981,3705.483321039347,4236.705914607333,3742.21661995242,6361.3680723882035,6219.180134941531,6242.01851074131,6470.249746137229,5106.70866526653
9,2682.2743361578414,2693.3434913067686,2645.087301783004,2712.469288581434,2701.6377432528857,5632.649603160829,8529.381596310663,6695.848127137611,10464.862121891878,9921.422564065304,3268.005774682845,3291.671428876252,3188.794937351377,3250.389462025685,3334.196687066713,3388.7070205667405,3392.4536110065783,3404.9536268590255,3341.332981246026,3423.424082087792,4532.274944435292,4266.439595465638,5201.457184097112,4266.422943515769,4504.618415253553,10841.264411818524,10198.384432276483,10677.045861270493,9170.666988098124,9376.821359714404,3829.320204052431,3631.948788644369,3705.483321039347,3996.3514162801994,3635.8878926709467,6221.124435626056,6140.543252815367,5834.250342012453,6382.788197756887,5090.874509575686
